date,signal,interest
2023-07-02,meteo,63
2023-07-09,meteo,70
2023-07-16,meteo,60
2023-07-23,meteo,79
2023-07-30,meteo,84
2023-08-06,meteo,63
2023-08-13,meteo,66
2023-08-20,meteo,85
2023-08-27,meteo,60
2023-09-03,meteo,46
2023-09-10,meteo,68
2023-09-17,meteo,64
2023-09-24,meteo,35
2023-10-01,meteo,38
2023-10-08,meteo,41
2023-10-15,meteo,57
2023-10-22,meteo,52
2023-10-29,meteo,64
2023-11-05,meteo,41
2023-11-12,meteo,38
2023-11-19,meteo,33
2023-11-26,meteo,41
2023-12-03,meteo,38
2023-12-10,meteo,31
2023-12-17,meteo,26
2023-12-24,meteo,28
2023-12-31,meteo,38
2024-01-07,meteo,45
2024-01-14,meteo,56
2024-01-21,meteo,29
2024-01-28,meteo,19
2024-02-04,meteo,25
2024-02-11,meteo,25
2024-02-18,meteo,32
2024-02-25,meteo,34
2024-03-03,meteo,33
2024-03-10,meteo,29
2024-03-17,meteo,32
2024-03-24,meteo,42
2024-03-31,meteo,40
2024-04-07,meteo,36
2024-04-14,meteo,42
2024-04-21,meteo,45
2024-04-28,meteo,51
2024-05-05,meteo,43
2024-05-12,meteo,55
2024-05-19,meteo,47
2024-05-26,meteo,46
2024-06-02,meteo,42
2024-06-09,meteo,45
2024-06-16,meteo,58
2024-06-23,meteo,55
2024-06-30,meteo,44
2024-07-07,meteo,50
2024-07-14,meteo,47
2024-07-21,meteo,47
2024-07-28,meteo,53
2024-08-04,meteo,39
2024-08-11,meteo,66
2024-08-18,meteo,43
2024-08-25,meteo,41
2024-09-01,meteo,54
2024-09-08,meteo,44
2024-09-15,meteo,38
2024-09-22,meteo,43
2024-09-29,meteo,33
2024-10-06,meteo,43
2024-10-13,meteo,41
2024-10-20,meteo,37
2024-10-27,meteo,27
2024-11-03,meteo,24
2024-11-10,meteo,23
2024-11-17,meteo,37
2024-11-24,meteo,25
2024-12-01,meteo,27
2024-12-08,meteo,26
2024-12-15,meteo,24
2024-12-22,meteo,25
2024-12-29,meteo,29
2025-01-05,meteo,32
2025-01-12,meteo,24
2025-01-19,meteo,27
2025-01-26,meteo,30
2025-02-02,meteo,26
2025-02-09,meteo,25
2025-02-16,meteo,26
2025-02-23,meteo,27
2025-03-02,meteo,25
2025-03-09,meteo,34
2025-03-16,meteo,33
2025-03-23,meteo,31
2025-03-30,meteo,27
2025-04-06,meteo,38
2025-04-13,meteo,48
2025-04-20,meteo,44
2025-04-27,meteo,43
2025-05-04,meteo,44
2025-05-11,meteo,37
2025-05-18,meteo,42
2025-05-25,meteo,42
2025-06-01,meteo,47
2025-06-08,meteo,45
2025-06-15,meteo,36
2025-06-22,meteo,49
2025-06-29,meteo,57
2025-07-06,meteo,41
2025-07-13,meteo,53
2025-07-20,meteo,55
2025-07-27,meteo,42
2025-08-03,meteo,35
2025-08-10,meteo,52
2025-08-17,meteo,51
2025-08-24,meteo,50
2025-08-31,meteo,44
2025-09-07,meteo,42
2025-09-14,meteo,36
2025-09-21,meteo,36
2025-09-28,meteo,28
2025-10-05,meteo,21
2025-10-12,meteo,23
2025-10-19,meteo,38
2025-10-26,meteo,29
2025-11-02,meteo,25
2025-11-09,meteo,26
2025-11-16,meteo,36
2025-11-23,meteo,29
2025-11-30,meteo,24
2025-12-07,meteo,19
2025-12-14,meteo,24
2025-12-21,meteo,31
2025-12-28,meteo,30
2026-01-04,meteo,54
2026-01-11,meteo,24
2026-01-18,meteo,27
