month,signal,avg_interest,max_interest
2023-08,iphone,8.0,8
2023-08,meteo,68.5,85
2023-09,chatgpt,2.25,3
2023-09,iphone,11.5,16
2023-09,meteo,53.25,68
2023-10,chatgpt,2.8,3
2023-10,iphone,8.2,9
2023-10,meteo,50.4,64
2023-11,chatgpt,3.0,3
2023-11,iphone,8.0,9
2023-11,meteo,38.25,41
2023-12,chatgpt,2.6,3
2023-12,iphone,8.6,11
2023-12,meteo,32.2,38
2024-01,chatgpt,2.75,3
2024-01,iphone,7.0,7
2024-01,meteo,37.25,56
2024-02,chatgpt,2.75,3
2024-02,iphone,7.0,7
2024-02,meteo,29.0,34
2024-03,chatgpt,3.0,3
2024-03,iphone,6.8,7
2024-03,meteo,35.2,42
2024-04,chatgpt,2.25,3
2024-04,iphone,7.0,7
2024-04,meteo,43.5,51
2024-05,chatgpt,2.5,3
2024-05,iphone,7.0,7
2024-05,meteo,47.75,55
2024-06,chatgpt,2.2,3
2024-06,iphone,7.0,7
2024-06,meteo,48.8,58
2024-07,chatgpt,1.5,2
2024-07,iphone,7.5,8
2024-07,meteo,49.25,53
2024-08,chatgpt,1.5,2
2024-08,iphone,8.5,9
2024-08,meteo,47.25,66
2024-09,chatgpt,3.2,4
2024-09,iphone,10.4,13
2024-09,meteo,42.4,54
2024-10,chatgpt,4.75,5
2024-10,iphone,8.25,9
2024-10,meteo,37.0,43
2024-11,chatgpt,6.0,6
2024-11,iphone,8.75,10
2024-11,meteo,27.25,37
2024-12,chatgpt,5.6,7
2024-12,iphone,10.0,12
2024-12,meteo,26.2,29
2025-01,chatgpt,5.75,6
2025-01,iphone,7.75,9
2025-01,meteo,28.25,32
2025-02,chatgpt,5.75,6
2025-02,iphone,8.5,9
2025-02,meteo,26.0,27
2025-03,chatgpt,6.2,7
2025-03,iphone,8.0,9
2025-03,meteo,30.0,34
2025-04,chatgpt,7.25,9
2025-04,iphone,7.75,8
2025-04,meteo,43.25,48
2025-05,chatgpt,7.75,9
2025-05,iphone,7.25,8
2025-05,meteo,41.25,44
2025-06,chatgpt,8.6,9
2025-06,iphone,7.4,8
2025-06,meteo,46.8,57
2025-07,chatgpt,7.75,8
2025-07,iphone,8.0,8
2025-07,meteo,47.75,55
2025-08,chatgpt,7.0,8
2025-08,iphone,8.4,9
2025-08,meteo,46.4,52
2025-09,chatgpt,10.25,11
2025-09,iphone,12.75,16
2025-09,meteo,35.5,42
2025-10,chatgpt,10.25,11
2025-10,iphone,9.0,9
2025-10,meteo,27.75,38
2025-11,chatgpt,12.2,13
2025-11,iphone,10.4,12
2025-11,meteo,28.0,36
2025-12,chatgpt,10.75,12
2025-12,iphone,11.0,13
2025-12,meteo,26.0,31
2026-01,chatgpt,11.333333333333334,12
2026-01,iphone,8.333333333333334,9
2026-01,meteo,35.0,54
