date,chatgpt,iphone,meteo
2022-07-31,0,8,62
2022-08-07,0,8,79
2022-08-14,0,8,100
2022-08-21,0,8,62
2022-08-28,0,8,71
2022-09-04,0,13,71
2022-09-11,0,12,59
2022-09-18,0,11,51
2022-09-25,0,9,53
2022-10-02,0,8,39
2022-10-09,0,8,42
2022-10-16,0,7,48
2022-10-23,0,8,43
2022-10-30,0,8,49
2022-11-06,0,7,35
2022-11-13,0,8,40
2022-11-20,0,9,34
2022-11-27,0,8,34
2022-12-04,0,8,38
2022-12-11,1,8,59
2022-12-18,1,9,38
2022-12-25,1,11,35
2023-01-01,1,9,32
2023-01-08,2,8,37
2023-01-15,3,7,57
2023-01-22,3,7,37
2023-01-29,2,7,29
2023-02-05,2,7,27
2023-02-12,2,7,29
2023-02-19,2,7,40
2023-02-26,2,7,36
2023-03-05,2,7,43
2023-03-12,3,7,46
2023-03-19,3,6,42
2023-03-26,3,7,49
2023-04-02,3,7,44
2023-04-09,3,7,57
2023-04-16,3,7,55
2023-04-23,3,7,64
2023-04-30,3,7,64
2023-05-07,2,7,73
2023-05-14,3,7,68
2023-05-21,3,7,55
2023-05-28,2,7,55
2023-06-04,2,7,67
2023-06-11,2,7,64
2023-06-18,2,7,72
2023-06-25,2,7,61
2023-07-02,2,8,63
2023-07-09,2,8,70
2023-07-16,2,8,60
2023-07-23,1,8,79
2023-07-30,1,8,84
2023-08-06,1,8,63
2023-08-13,1,8,66
2023-08-20,1,8,85
2023-08-27,2,8,60
2023-09-03,2,7,46
2023-09-10,2,16,68
2023-09-17,2,12,64
2023-09-24,3,11,35
2023-10-01,3,9,38
2023-10-08,3,8,41
2023-10-15,3,8,57
2023-10-22,3,8,52
2023-10-29,2,8,64
2023-11-05,3,7,41
2023-11-12,3,8,38
2023-11-19,3,9,33
2023-11-26,3,8,41
2023-12-03,3,8,38
2023-12-10,3,8,31
2023-12-17,3,8,26
2023-12-24,2,11,28
2023-12-31,2,8,38
2024-01-07,3,7,45
2024-01-14,2,7,56
2024-01-21,3,7,29
2024-01-28,3,7,19
2024-02-04,3,7,25
2024-02-11,3,7,25
2024-02-18,3,7,32
2024-02-25,2,7,34
2024-03-03,3,7,33
2024-03-10,3,6,29
2024-03-17,3,7,32
2024-03-24,3,7,42
2024-03-31,3,7,40
2024-04-07,3,7,36
2024-04-14,2,7,42
2024-04-21,2,7,45
2024-04-28,2,7,51
2024-05-05,2,7,43
2024-05-12,3,7,55
2024-05-19,3,7,47
2024-05-26,2,7,46
2024-06-02,3,7,42
2024-06-09,2,7,45
2024-06-16,2,7,58
2024-06-23,2,7,55
2024-06-30,2,7,44
2024-07-07,2,7,50
2024-07-14,2,8,47
2024-07-21,1,8,47
2024-07-28,1,7,53
2024-08-04,1,8,39
2024-08-11,1,8,66
2024-08-18,2,9,43
2024-08-25,2,9,41
2024-09-01,2,8,54
2024-09-08,3,13,44
2024-09-15,3,11,38
2024-09-22,4,11,43
2024-09-29,4,9,33
2024-10-06,4,9,43
2024-10-13,5,8,41
2024-10-20,5,8,37
2024-10-27,5,8,27
2024-11-03,6,8,24
2024-11-10,6,8,23
2024-11-17,6,9,37
2024-11-24,6,10,25
2024-12-01,6,10,27
2024-12-08,7,9,26
2024-12-15,6,9,24
2024-12-22,4,12,25
2024-12-29,5,10,29
2025-01-05,6,9,32
2025-01-12,6,8,24
2025-01-19,6,7,27
2025-01-26,5,7,30
2025-02-02,6,8,26
2025-02-09,6,8,25
2025-02-16,5,9,26
2025-02-23,6,9,27
2025-03-02,6,9,25
2025-03-09,6,8,34
2025-03-16,6,8,33
2025-03-23,6,7,31
2025-03-30,7,8,27
2025-04-06,9,8,38
2025-04-13,7,8,48
2025-04-20,7,8,44
2025-04-27,6,7,43
2025-05-04,6,8,44
2025-05-11,8,7,37
2025-05-18,9,7,42
2025-05-25,8,7,42
2025-06-01,9,7,47
2025-06-08,9,8,45
2025-06-15,8,7,36
2025-06-22,9,7,49
2025-06-29,8,8,57
2025-07-06,8,8,41
2025-07-13,8,8,53
2025-07-20,8,8,55
2025-07-27,7,8,42
2025-08-03,7,8,35
2025-08-10,6,8,52
2025-08-17,7,8,51
2025-08-24,7,9,50
2025-08-31,8,9,44
2025-09-07,9,16,42
2025-09-14,10,13,36
2025-09-21,11,12,36
2025-09-28,11,10,28
2025-10-05,10,9,21
2025-10-12,10,9,23
2025-10-19,11,9,38
2025-10-26,10,9,29
2025-11-02,12,10,25
2025-11-09,11,9,26
2025-11-16,13,10,36
2025-11-23,13,12,29
2025-11-30,12,11,24
2025-12-07,12,10,19
2025-12-14,12,10,24
2025-12-21,9,13,31
2025-12-28,10,11,30
2026-01-04,11,9,54
2026-01-11,11,8,24
2026-01-18,12,8,27
