date,chatgpt,iphone,meteo,chatgpt_lag1,chatgpt_roll4,iphone_lag1,iphone_roll4,meteo_lag1,meteo_roll4,month,target_chatgpt_high_next_week
2022-07-24,0,8,60,0.0,0.0,8.0,7.75,84.0,59.5,7,0
2022-07-31,0,8,62,0.0,0.0,8.0,7.75,60.0,64.0,7,0
2022-08-07,0,8,79,0.0,0.0,8.0,8.0,62.0,71.25,8,0
2022-08-14,0,8,100,0.0,0.0,8.0,8.0,79.0,75.25,8,0
2022-08-21,0,8,62,0.0,0.0,8.0,8.0,100.0,75.75,8,0
2022-08-28,0,8,71,0.0,0.0,8.0,8.0,62.0,78.0,8,0
2022-09-04,0,13,71,0.0,0.0,8.0,9.25,71.0,76.0,9,0
2022-09-11,0,12,59,0.0,0.0,13.0,10.25,71.0,65.75,9,0
2022-09-18,0,11,51,0.0,0.0,12.0,11.0,59.0,63.0,9,0
2022-09-25,0,9,53,0.0,0.0,11.0,11.25,51.0,58.5,9,0
2022-10-02,0,8,39,0.0,0.0,9.0,10.0,53.0,50.5,10,0
2022-10-09,0,8,42,0.0,0.0,8.0,9.0,39.0,46.25,10,0
2022-10-16,0,7,48,0.0,0.0,8.0,8.0,42.0,45.5,10,0
2022-10-23,0,8,43,0.0,0.0,7.0,7.75,48.0,43.0,10,0
2022-10-30,0,8,49,0.0,0.0,8.0,7.75,43.0,45.5,10,0
2022-11-06,0,7,35,0.0,0.0,8.0,7.5,49.0,43.75,11,0
2022-11-13,0,8,40,0.0,0.0,7.0,7.75,35.0,41.75,11,0
2022-11-20,0,9,34,0.0,0.0,8.0,8.0,40.0,39.5,11,0
2022-11-27,0,8,34,0.0,0.0,9.0,8.0,34.0,35.75,11,0
2022-12-04,0,8,38,0.0,0.0,8.0,8.25,34.0,36.5,12,0
2022-12-11,1,8,59,0.0,0.25,8.0,8.25,38.0,41.25,12,0
2022-12-18,1,9,38,1.0,0.5,8.0,8.25,59.0,42.25,12,0
2022-12-25,1,11,35,1.0,0.75,9.0,9.0,38.0,42.5,12,0
2023-01-01,1,9,32,1.0,1.0,11.0,9.25,35.0,41.0,1,0
2023-01-08,2,8,37,1.0,1.25,9.0,9.25,32.0,35.5,1,1
2023-01-15,3,7,57,2.0,1.75,8.0,8.75,37.0,40.25,1,1
2023-01-22,3,7,37,3.0,2.25,7.0,7.75,57.0,40.75,1,0
2023-01-29,2,7,29,3.0,2.5,7.0,7.25,37.0,40.0,1,0
2023-02-05,2,7,27,2.0,2.5,7.0,7.0,29.0,37.5,2,0
2023-02-12,2,7,29,2.0,2.25,7.0,7.0,27.0,30.5,2,0
2023-02-19,2,7,40,2.0,2.0,7.0,7.0,29.0,31.25,2,0
2023-02-26,2,7,36,2.0,2.0,7.0,7.0,40.0,33.0,2,0
2023-03-05,2,7,43,2.0,2.0,7.0,7.0,36.0,37.0,3,1
2023-03-12,3,7,46,2.0,2.25,7.0,7.0,43.0,41.25,3,1
2023-03-19,3,6,42,3.0,2.5,7.0,6.75,46.0,41.75,3,1
2023-03-26,3,7,49,3.0,2.75,6.0,6.75,42.0,45.0,3,1
2023-04-02,3,7,44,3.0,3.0,7.0,6.75,49.0,45.25,4,1
2023-04-09,3,7,57,3.0,3.0,7.0,6.75,44.0,48.0,4,1
2023-04-16,3,7,55,3.0,3.0,7.0,7.0,57.0,51.25,4,1
2023-04-23,3,7,64,3.0,3.0,7.0,7.0,55.0,55.0,4,1
2023-04-30,3,7,64,3.0,3.0,7.0,7.0,64.0,60.0,4,0
2023-05-07,2,7,73,3.0,2.75,7.0,7.0,64.0,64.0,5,1
2023-05-14,3,7,68,2.0,2.75,7.0,7.0,73.0,67.25,5,1
2023-05-21,3,7,55,3.0,2.75,7.0,7.0,68.0,65.0,5,0
2023-05-28,2,7,55,3.0,2.5,7.0,7.0,55.0,62.75,5,0
2023-06-04,2,7,67,2.0,2.5,7.0,7.0,55.0,61.25,6,0
2023-06-11,2,7,64,2.0,2.25,7.0,7.0,67.0,60.25,6,0
2023-06-18,2,7,72,2.0,2.0,7.0,7.0,64.0,64.5,6,0
2023-06-25,2,7,61,2.0,2.0,7.0,7.0,72.0,66.0,6,0
2023-07-02,2,8,63,2.0,2.0,7.0,7.25,61.0,65.0,7,0
2023-07-09,2,8,70,2.0,2.0,8.0,7.5,63.0,66.5,7,0
2023-07-16,2,8,60,2.0,2.0,8.0,7.75,70.0,63.5,7,0
2023-07-23,1,8,79,2.0,1.75,8.0,8.0,60.0,68.0,7,0
2023-07-30,1,8,84,1.0,1.5,8.0,8.0,79.0,73.25,7,0
2023-08-06,1,8,63,1.0,1.25,8.0,8.0,84.0,71.5,8,0
2023-08-13,1,8,66,1.0,1.0,8.0,8.0,63.0,73.0,8,0
2023-08-20,1,8,85,1.0,1.0,8.0,8.0,66.0,74.5,8,0
2023-08-27,2,8,60,1.0,1.25,8.0,8.0,85.0,68.5,8,0
2023-09-03,2,7,46,2.0,1.5,8.0,7.75,60.0,64.25,9,0
2023-09-10,2,16,68,2.0,1.75,7.0,9.75,46.0,64.75,9,0
2023-09-17,2,12,64,2.0,2.0,16.0,10.75,68.0,59.5,9,1
2023-09-24,3,11,35,2.0,2.25,12.0,11.5,64.0,53.25,9,1
2023-10-01,3,9,38,3.0,2.5,11.0,12.0,35.0,51.25,10,1
2023-10-08,3,8,41,3.0,2.75,9.0,10.0,38.0,44.5,10,1
2023-10-15,3,8,57,3.0,3.0,8.0,9.0,41.0,42.75,10,1
2023-10-22,3,8,52,3.0,3.0,8.0,8.25,57.0,47.0,10,0
2023-10-29,2,8,64,3.0,2.75,8.0,8.0,52.0,53.5,10,1
2023-11-05,3,7,41,2.0,2.75,8.0,7.75,64.0,53.5,11,1
2023-11-12,3,8,38,3.0,2.75,7.0,7.75,41.0,48.75,11,1
2023-11-19,3,9,33,3.0,2.75,8.0,8.0,38.0,44.0,11,1
2023-11-26,3,8,41,3.0,3.0,9.0,8.0,33.0,38.25,11,1
2023-12-03,3,8,38,3.0,3.0,8.0,8.25,41.0,37.5,12,1
2023-12-10,3,8,31,3.0,3.0,8.0,8.25,38.0,35.75,12,1
2023-12-17,3,8,26,3.0,3.0,8.0,8.0,31.0,34.0,12,0
2023-12-24,2,11,28,3.0,2.75,8.0,8.75,26.0,30.75,12,0
2023-12-31,2,8,38,2.0,2.5,11.0,8.75,28.0,30.75,12,1
2024-01-07,3,7,45,2.0,2.5,8.0,8.5,38.0,34.25,1,0
2024-01-14,2,7,56,3.0,2.25,7.0,8.25,45.0,41.75,1,1
2024-01-21,3,7,29,2.0,2.5,7.0,7.25,56.0,42.0,1,1
2024-01-28,3,7,19,3.0,2.75,7.0,7.0,29.0,37.25,1,1
2024-02-04,3,7,25,3.0,2.75,7.0,7.0,19.0,32.25,2,1
2024-02-11,3,7,25,3.0,3.0,7.0,7.0,25.0,24.5,2,1
2024-02-18,3,7,32,3.0,3.0,7.0,7.0,25.0,25.25,2,0
2024-02-25,2,7,34,3.0,2.75,7.0,7.0,32.0,29.0,2,1
2024-03-03,3,7,33,2.0,2.75,7.0,7.0,34.0,31.0,3,1
2024-03-10,3,6,29,3.0,2.75,7.0,6.75,33.0,32.0,3,1
2024-03-17,3,7,32,3.0,2.75,6.0,6.75,29.0,32.0,3,1
2024-03-24,3,7,42,3.0,3.0,7.0,6.75,32.0,34.0,3,1
2024-03-31,3,7,40,3.0,3.0,7.0,6.75,42.0,35.75,3,1
2024-04-07,3,7,36,3.0,3.0,7.0,7.0,40.0,37.5,4,0
2024-04-14,2,7,42,3.0,2.75,7.0,7.0,36.0,40.0,4,0
2024-04-21,2,7,45,2.0,2.5,7.0,7.0,42.0,40.75,4,0
2024-04-28,2,7,51,2.0,2.25,7.0,7.0,45.0,43.5,4,0
2024-05-05,2,7,43,2.0,2.0,7.0,7.0,51.0,45.25,5,1
2024-05-12,3,7,55,2.0,2.25,7.0,7.0,43.0,48.5,5,1
2024-05-19,3,7,47,3.0,2.5,7.0,7.0,55.0,49.0,5,0
2024-05-26,2,7,46,3.0,2.5,7.0,7.0,47.0,47.75,5,1
2024-06-02,3,7,42,2.0,2.75,7.0,7.0,46.0,47.5,6,0
2024-06-09,2,7,45,3.0,2.5,7.0,7.0,42.0,45.0,6,0
2024-06-16,2,7,58,2.0,2.25,7.0,7.0,45.0,47.75,6,0
2024-06-23,2,7,55,2.0,2.25,7.0,7.0,58.0,50.0,6,0
2024-06-30,2,7,44,2.0,2.0,7.0,7.0,55.0,50.5,6,0
2024-07-07,2,7,50,2.0,2.0,7.0,7.0,44.0,51.75,7,0
2024-07-14,2,8,47,2.0,2.0,7.0,7.25,50.0,49.0,7,0
2024-07-21,1,8,47,2.0,1.75,8.0,7.5,47.0,47.0,7,0
2024-07-28,1,7,53,1.0,1.5,8.0,7.5,47.0,49.25,7,0
2024-08-04,1,8,39,1.0,1.25,7.0,7.75,53.0,46.5,8,0
2024-08-11,1,8,66,1.0,1.0,8.0,7.75,39.0,51.25,8,0
2024-08-18,2,9,43,1.0,1.25,8.0,8.0,66.0,50.25,8,0
2024-08-25,2,9,41,2.0,1.5,9.0,8.5,43.0,47.25,8,0
2024-09-01,2,8,54,2.0,1.75,9.0,8.5,41.0,51.0,9,1
2024-09-08,3,13,44,2.0,2.25,8.0,9.75,54.0,45.5,9,1
2024-09-15,3,11,38,3.0,2.5,13.0,10.25,44.0,44.25,9,1
2024-09-22,4,11,43,3.0,3.0,11.0,10.75,38.0,44.75,9,1
2024-09-29,4,9,33,4.0,3.5,11.0,11.0,43.0,39.5,9,1
2024-10-06,4,9,43,4.0,3.75,9.0,10.0,33.0,39.25,10,1
2024-10-13,5,8,41,4.0,4.25,9.0,9.25,43.0,40.0,10,1
2024-10-20,5,8,37,5.0,4.5,8.0,8.5,41.0,38.5,10,1
2024-10-27,5,8,27,5.0,4.75,8.0,8.25,37.0,37.0,10,1
2024-11-03,6,8,24,5.0,5.25,8.0,8.0,27.0,32.25,11,1
2024-11-10,6,8,23,6.0,5.5,8.0,8.0,24.0,27.75,11,1
2024-11-17,6,9,37,6.0,5.75,8.0,8.25,23.0,27.75,11,1
2024-11-24,6,10,25,6.0,6.0,9.0,8.75,37.0,27.25,11,1
2024-12-01,6,10,27,6.0,6.0,10.0,9.25,25.0,28.0,12,1
2024-12-08,7,9,26,6.0,6.25,10.0,9.5,27.0,28.75,12,1
2024-12-15,6,9,24,7.0,6.25,9.0,9.5,26.0,25.5,12,1
2024-12-22,4,12,25,6.0,5.75,9.0,10.0,24.0,25.5,12,1
2024-12-29,5,10,29,4.0,5.5,12.0,10.0,25.0,26.0,12,1
2025-01-05,6,9,32,5.0,5.25,10.0,10.0,29.0,27.5,1,1
2025-01-12,6,8,24,6.0,5.25,9.0,9.75,32.0,27.5,1,1
2025-01-19,6,7,27,6.0,5.75,8.0,8.5,24.0,28.0,1,1
2025-01-26,5,7,30,6.0,5.75,7.0,7.75,27.0,28.25,1,1
2025-02-02,6,8,26,5.0,5.75,7.0,7.5,30.0,26.75,2,1
2025-02-09,6,8,25,6.0,5.75,8.0,7.5,26.0,27.0,2,1
2025-02-16,5,9,26,6.0,5.5,8.0,8.0,25.0,26.75,2,1
2025-02-23,6,9,27,5.0,5.75,9.0,8.5,26.0,26.0,2,1
2025-03-02,6,9,25,6.0,5.75,9.0,8.75,27.0,25.75,3,1
2025-03-09,6,8,34,6.0,5.75,9.0,8.75,25.0,28.0,3,1
2025-03-16,6,8,33,6.0,6.0,8.0,8.5,34.0,29.75,3,1
2025-03-23,6,7,31,6.0,6.0,8.0,8.0,33.0,30.75,3,1
2025-03-30,7,8,27,6.0,6.25,7.0,7.75,31.0,31.25,3,1
2025-04-06,9,8,38,7.0,7.0,8.0,7.75,27.0,32.25,4,1
2025-04-13,7,8,48,9.0,7.25,8.0,7.75,38.0,36.0,4,1
2025-04-20,7,8,44,7.0,7.5,8.0,8.0,48.0,39.25,4,1
2025-04-27,6,7,43,7.0,7.25,8.0,7.75,44.0,43.25,4,1
2025-05-04,6,8,44,6.0,6.5,7.0,7.75,43.0,44.75,5,1
2025-05-11,8,7,37,6.0,6.75,8.0,7.5,44.0,42.0,5,1
2025-05-18,9,7,42,8.0,7.25,7.0,7.25,37.0,41.5,5,1
2025-05-25,8,7,42,9.0,7.75,7.0,7.25,42.0,41.25,5,1
2025-06-01,9,7,47,8.0,8.5,7.0,7.0,42.0,42.0,6,1
2025-06-08,9,8,45,9.0,8.75,7.0,7.25,47.0,44.0,6,1
2025-06-15,8,7,36,9.0,8.5,8.0,7.25,45.0,42.5,6,1
2025-06-22,9,7,49,8.0,8.75,7.0,7.25,36.0,44.25,6,1
2025-06-29,8,8,57,9.0,8.5,7.0,7.5,49.0,46.75,6,1
2025-07-06,8,8,41,8.0,8.25,8.0,7.5,57.0,45.75,7,1
2025-07-13,8,8,53,8.0,8.25,8.0,7.75,41.0,50.0,7,1
2025-07-20,8,8,55,8.0,8.0,8.0,8.0,53.0,51.5,7,1
2025-07-27,7,8,42,8.0,7.75,8.0,8.0,55.0,47.75,7,1
2025-08-03,7,8,35,7.0,7.5,8.0,8.0,42.0,46.25,8,1
2025-08-10,6,8,52,7.0,7.0,8.0,8.0,35.0,46.0,8,1
2025-08-17,7,8,51,6.0,6.75,8.0,8.0,52.0,45.0,8,1
2025-08-24,7,9,50,7.0,6.75,8.0,8.25,51.0,47.0,8,1
2025-08-31,8,9,44,7.0,7.0,9.0,8.5,50.0,49.25,8,1
2025-09-07,9,16,42,8.0,7.75,9.0,10.5,44.0,46.75,9,1
2025-09-14,10,13,36,9.0,8.5,16.0,11.75,42.0,43.0,9,1
2025-09-21,11,12,36,10.0,9.5,13.0,12.5,36.0,39.5,9,1
2025-09-28,11,10,28,11.0,10.25,12.0,12.75,36.0,35.5,9,1
2025-10-05,10,9,21,11.0,10.5,10.0,11.0,28.0,30.25,10,1
2025-10-12,10,9,23,10.0,10.5,9.0,10.0,21.0,27.0,10,1
2025-10-19,11,9,38,10.0,10.5,9.0,9.25,23.0,27.5,10,1
2025-10-26,10,9,29,11.0,10.25,9.0,9.0,38.0,27.75,10,1
2025-11-02,12,10,25,10.0,10.75,9.0,9.25,29.0,28.75,11,1
2025-11-09,11,9,26,12.0,11.0,10.0,9.25,25.0,29.5,11,1
2025-11-16,13,10,36,11.0,11.5,9.0,9.5,26.0,29.0,11,1
2025-11-23,13,12,29,13.0,12.25,10.0,10.25,36.0,29.0,11,1
2025-11-30,12,11,24,13.0,12.25,12.0,10.5,29.0,28.75,11,1
2025-12-07,12,10,19,12.0,12.5,11.0,10.75,24.0,27.0,12,1
2025-12-14,12,10,24,12.0,12.25,10.0,10.75,19.0,24.0,12,1
2025-12-21,9,13,31,12.0,11.25,10.0,11.0,24.0,24.5,12,1
2025-12-28,10,11,30,9.0,10.75,13.0,11.0,31.0,26.0,12,1
2026-01-04,11,9,54,10.0,10.5,11.0,10.75,30.0,34.75,1,1
2026-01-11,11,8,24,11.0,10.25,9.0,10.25,54.0,34.75,1,1
